,Weight
BAC,0.03413724365398204
PEP,0.05250586130829349
COST,0.03847737725666512
KHC,0.05015134413639975
SBUX,0.07536195078715523
AMZN,0.04499559386086228
INTC,0.0253600288735857
MMM,0.04062388912748976
KO,0.03432516984259005
NVDA,0.10140313355762483
XOM,0.06007958803463917
JPM,0.044666381622192386
TSLA,0.06326299788969678
META,0.05296378673989976
GOOG,0.059480217068198546
AVGO,0.015012085515010732
O,0.00029810883228997966
AAPL,0.08386765809695597
WMT,0.06793832408860326
JNJ,0.05508925970786503
