,Weight
BAC,0.011771687205493719
PEP,0.0412133690431407
COST,0.12653656934806587
KHC,0.00034156255156716884
SBUX,0.0014786761171225711
AMZN,0.009949641529715204
INTC,0.0994768291661219
MMM,0.0018874770357924018
KO,0.0009973185300299206
NVDA,0.036196357169151226
XOM,0.08544170785920349
JPM,0.016531579825022787
TSLA,0.05375044493827638
META,0.009704502990693831
GOOG,0.100535425281996
AVGO,0.02837138001856268
O,0.1069343987232508
AAPL,0.11583403319496981
WMT,0.09630191173705488
JNJ,0.056745127734768586
Sum,1.0
