,Weight
BAC,0.01635202871919675
PEP,0.13142021949538718
COST,0.029604461929271724
KHC,0.04738617269000608
SBUX,0.013957935747969538
AMZN,0.05471366604317363
INTC,0.01883646242897156
MMM,0.04667725110049423
KO,0.10735180478110484
NVDA,0.05815505079248111
XOM,0.037127396831471586
JPM,0.0019459031660614687
TSLA,0.08049991200512938
META,0.07858617321747816
GOOG,0.04647443905509286
AVGO,0.018764642394296992
O,0.05963203337978714
AAPL,0.08306174651812674
WMT,0.051425019977481765
JNJ,0.018027679727017173
