,Weight
BAC,0.051045978869122266
PEP,0.02056592806673817
COST,0.005319042516815744
KHC,0.037845273624362304
SBUX,0.09562730622605423
AMZN,0.009144654371078252
INTC,0.00376499225792629
MMM,0.018150115084892785
KO,0.0446082861498431
NVDA,0.07103461493242534
XOM,0.004649900055115846
JPM,0.08389625944568616
TSLA,0.052393115118749375
META,0.0879324291410929
GOOG,0.19496600631687405
AVGO,0.0011109513666948292
O,0.047039854309379105
AAPL,0.05048432310218991
WMT,0.06862779694689491
JNJ,0.05179317209806443
